user_id,actor_index
1282957104906240321,1
1305852191440896508,2
1390263146643456712,3
1406838801170432222,4
1473219785654272754,5
1476271494135808786,6
1491076288348160680,7
1496116877066240129,8
1504450615181312387,9
1543788799459328779,10
1552984215388160887,11
1560269151010816192,12
1590054329778176924,13
1598318148845569007,14
1599349360427008916,15
1603318774235136814,16
1603870853693440511,17
1606747911356416608,18
1615484730474496854,19
1616714315857920835,20
1624861868818432377,21
1637995652317184014,22
1639420750987264898,23
1639522261532672001,24
1647942083543040620,25
1651570181668864944,26
1655476697694208393,27
1659372451135488049,28
1663984264544256132,29
1666304268304384281,30
1685566399709184179,31
1692409364742144553,32
1694638293385216761,33
1695814845988864625,34
1699329563688960520,35
1700132529635328093,36
1703081284730881013,37
1704856238686208459,38
1711158549544960452,39
1712408468914176038,40
1716751570042880409,41
1717053031448576730,42
1722841934331904911,43
1723270055329792304,44
1723636696219648622,45
1724111055224832009,46
1727052067635200336,47
1728330885758976410,48
1730659672391680879,49
1732949024178176405,50
1733675293081600765,51
1737351793475584263,52
1737876232470528735,53
1738552010342400804,54
1739877469126656289,55
1740778455957504463,56
1746519359225856543,57
1747147036819456353,58
1748753270702080202,59
1748854781247488980,60
1748887974969344991,61
1749550297513984585,62
1749729008418816963,63
1749764936826880221,64
1751772213280768836,65
1751980594692096999,66
1752919212818432124,67
1752957339041792019,68
1753100004098048033,69
1753178546634752520,70
1753247375163392685,71
1754567087751168761,72
1755632734568448093,73
1756783206989824998,74
1757701608570880893,75
1757992802320384875,76
1758236927590400574,77
1760210095964160070,78
1761923821469696607,79
1763353156386816741,80
1765266337824768324,81
1765287359676416522,82
1765444570578944669,83
1765629681991680885,84
1766310434308096108,85
1766327672897536262,86
1766839830970368682,87
1766887687979008617,88
1767030520807424126,89
1768359519584256885,90
1769030625001472680,91
1769767262224384497,92
1770638603714560386,93
1771076698767360844,94
1771193753403392131,95
1771793698258944067,96
1772014217986048779,97
1772053770272768926,98
1773357729054720594,99
1773447445217280430,100
1774954181820416137,101
1777090282127360608,102
1777146150256640196,103
1779262134681600537,104
1780132259823616952,105
1780830393335808710,106
1780853294235648045,107
1782283619008512199,108
1784130522054656786,109
1784347543732224652,110
1785685535096832474,111
1785789763551232581,112
1786458343997440585,113
1788610961473536986,114
1788676879155200020,115
1789427391135744649,116
1789615614722048114,117
1790199109517312625,118
1790707182338048705,119
1790920622080000792,120
1791531405017088196,121
1791796812185600688,122
1792353337606144186,123
1793637398609920179,124
1793906119278592275,125
1794444449808385013,126
1794963603980288537,127
1795986821218304091,128
1796733541548032451,129
1796965553668096816,130
1797212707225600367,131
1798662032195584966,132
1798865548214272867,133
1799373151272960069,134
1800312222384128604,135
1802207418646528815,136
