sender_id,receiver_id,weight
1552245279686656789,2040940600492032974,1
1557582699298816063,1921856290422784036,1
1640207510142976020,1479975031013376108,1
1721911973249024777,1739293773004800249,1
1759016346714112878,1537372873293824197,1
1767589663473664271,2233663920013312738,1
1811049447686144813,1775599098003456781,1
1820683428429824682,2246819857825792649,2
1880075863588864584,1906243488710656698,2
1921856290422784036,1557582699298816063,1
1923681928347648883,2069071671590912127,1
1984321573355520246,1846818883239936143,1
1994616224088064667,1989546157801472355,1
2003943257276416389,1747383729782784854,1
2024323707568128236,2038837568077824443,1
2059003152564224267,2076922955694080585,1
2076930857762816209,1920729742311424041,1
2120210244960257013,2238976031195136563,1
2165707840159744272,2087967287934976056,1
2169227481972736252,2248155567489024161,3
2203194239221760413,1666914220769280800,1
2208851650674688597,2004758663528448265,1
2209764817764352630,2137325547028480018,1
2232207003353088190,2250289511923712717,3
2250289511923712717,2232207003353088190,2
2259240114716672116,2023776795492352850,1
2263690422255617008,2149117950164992732,1
2280694214557696999,2017064499806208952,2
2283118773927936293,2308274892308480534,1
2292310163324928866,2285019515060224061,2
2303164803973120535,1774460260581376881,1
2317527669538816948,2232700186394624543,1
2370655953616896883,2308494069858304294,2
2431323180367872727,2516510895505408333,3
2485725291347968682,2004758663528448265,1
2516510895505408333,2431323180367872727,2
