time_days,sender,receiver,window,sender_id,receiver_id
0.7983680555555556,622,966,0,2126980715642880770,2422991438741504418
0.7990277777777778,356,101,0,1975768322146304485,1774954181820416137
0.8471064814814815,570,599,0,2081620156743680138,2103406151860224092
0.8722337962962963,983,764,0,2507566517059584904,2243880019820544175
0.9161574074074074,732,695,0,2205980163047424802,2175539808829440123
1.2101851851851853,767,931,0,2244517403033600054,2334513988370432418
1.2965046296296296,411,53,0,2016127651676160480,1737876232470528735
1.317939814814815,375,281,0,1989208273059840459,1907112523333632768
1.3276273148148148,8,18,0,1496116877066240129,1606747911356416608
1.3288194444444446,102,281,0,1777090282127360608,1907112523333632768
1.3294560185185185,253,281,0,1887384614469632805,1907112523333632768
1.5588773148148147,39,415,0,1711158549544960452,2017855772033024974
1.5993287037037036,914,555,0,2313466517913600801,2072169399975937018
1.7655902777777779,267,362,0,1894439165362176335,1983505680564224999
1.8761805555555555,728,523,0,2201902611693568964,2052382552752128702
1.8807407407407408,978,826,0,2495125364146176480,2280910825193472212
1.961875,446,83,0,2026342375751680171,1765444570578944669
2.0115625,935,428,0,2353269842116608198,2020506505052160284
2.020324074074074,413,342,0,2016843283824640871,1964767644221440047
2.044467592592593,826,967,0,2280910825193472212,2433714101420032557
2.088865740740741,724,844,0,2198113645232128590,2287120450322432145
2.186400462962963,597,607,0,2101253752487936505,2114980845453312002
2.252453703703704,186,156,0,1845740443795456568,1824310754803712977
2.2580092592592593,616,17,0,2122829495533568731,1603870853693440511
2.260104166666667,17,616,0,1603870853693440511,2122829495533568731
2.2622222222222224,167,490,0,1832929823031296972,2039565229490176872
2.2691550925925927,486,11,0,2037193140862976456,1552984215388160887
2.2989236111111113,177,187,0,1840866394112000834,1846691711942656802
2.3159259259259257,187,190,0,1846691711942656802,1847557986713600556
2.366712962962963,63,210,0,1749729008418816963,1860382373183488857
2.378298611111111,253,102,0,1887384614469632805,1777090282127360608
2.378483796296296,375,461,0,1989208273059840459,2029334021799936669
2.3790046296296294,253,102,0,1887384614469632805,1777090282127360608
2.3792708333333334,461,102,0,2029334021799936669,1777090282127360608
2.382210648148148,844,724,0,2287120450322432145,2198113645232128590
2.4285185185185183,101,459,0,1774954181820416137,2028007673823232103
2.4522453703703704,281,51,0,1907112523333632768,1733675293081600765
2.575810185185185,432,169,0,2021999635333120312,1835618036350976772
2.7030671296296296,711,682,0,2186601690038272884,2167301877006336992
2.7100694444444446,758,520,0,2233842303762432156,2051602387042304629
2.740127314814815,836,758,0,2283810699870208856,2233842303762432156
2.763912037037037,496,51,0,2041160977612800888,1733675293081600765
2.78244212962963,753,712,0,2230796031098880080,2186611160776704809
2.7890972222222223,869,265,0,2294370388672512243,1893947114782720311
2.8174421296296295,13,37,0,1590054329778176924,1703081284730881013
2.818113425925926,460,162,0,2028363023646720137,1828593466343424148
2.8251157407407406,375,102,0,1989208273059840459,1777090282127360608
2.8303819444444445,185,721,0,1845089387151360086,2196740774035456902
2.870949074074074,263,397,0,1892171372298240716,2009234573099008395
2.897523148148148,967,826,0,2433714101420032557,2280910825193472212
2.938784722222222,521,533,0,2051753373597696943,2059056747380737019
3.0835416666666666,498,921,0,2041733961482240791,2317781760475136663
3.1524074074074075,206,524,0,1858845496311808614,2052459308515328132
3.1569328703703703,254,256,0,1887970852339712230,1888623200829440019
3.1730439814814817,241,206,0,1883680960151552357,1858845496311808614
3.18525462962963,225,741,0,1870080887488512805,2223094500425728367
3.213576388888889,185,721,0,1845089387151360086,2196740774035456902
3.2327777777777778,228,654,0,1872577890877440559,2145463008493568110
3.2328125,217,967,0,1864079316615168496,2433714101420032557
3.2478356481481483,555,654,0,2072169399975937018,2145463008493568110
3.2694907407407405,124,342,0,1793637398609920179,1964767644221440047
3.4121180555555557,102,375,0,1777090282127360608,1989208273059840459
3.4123032407407408,102,461,0,1777090282127360608,2029334021799936669
3.4847800925925925,374,314,0,1988993197539328251,1938169381519360230
3.4850578703703703,336,314,0,1961415246086144676,1938169381519360230
3.496377314814815,489,617,0,2038022941966336433,2122996697268224385
3.561377314814815,574,592,0,2085810568429568853,2097654360178688638
3.561400462962963,327,746,0,1952658092982272228,2227571324354560116
3.6903703703703705,195,77,0,1851120905355264559,1758236927590400574
3.835497685185185,714,358,0,2188728076337152271,1977982688165888324
3.859976851851852,138,349,0,1803419295678464545,1971828151025664836
3.8753356481481482,133,12,0,1798865548214272867,1560269151010816192
4.029953703703704,381,427,0,1992966369443840839,2020405783035904854
4.041145833333333,427,381,0,2020405783035904854,1992966369443840839
4.12261574074074,323,15,0,1948606487592961022,1599349360427008916
4.144652777777778,749,895,0,2228590213070848697,2303963340734464735
4.1498842592592595,65,85,0,1751772213280768836,1766310434308096108
4.156168981481481,8,72,0,1496116877066240129,1754567087751168761
4.324965277777777,921,321,0,2317781760475136663,1945259374280704633
4.370821759259259,618,100,0,2123468590022656801,1773447445217280430
4.578784722222222,109,239,0,1784130522054656786,1882014001135616280
4.601099537037037,459,356,0,2028007673823232103,1975768322146304485
4.681226851851852,961,896,0,2407015494189056840,2304500664631296022
4.720798611111111,457,318,0,2027259409989632379,1942784374210560569
4.785856481481481,654,555,0,2145463008493568110,2072169399975937018
4.824351851851852,797,607,0,2264235530780672955,2114980845453312002
4.831365740740741,142,281,0,1807569995694081006,1907112523333632768
4.883460648148148,459,356,0,2028007673823232103,1975768322146304485
4.934212962962963,593,516,0,2100263577976833018,2049446607060992438
4.9369907407407405,723,949,0,2196839507951616561,2384571681210368007
4.948900462962963,538,856,0,2060921023234048076,2290438329335808919
4.99125,716,100,0,2190136666226688946,1773447445217280430
5.0720833333333335,716,100,0,2190136666226688946,1773447445217280430
5.109861111111111,880,729,0,2297996473532416913,2204920488919040970
5.129097222222223,580,24,0,2090863597453312794,1639522261532672001
5.137141203703703,367,24,0,1985837730365440732,1639522261532672001
5.154224537037037,806,808,0,2270563082960896014,2271973711282176297
5.1860532407407405,686,770,0,2171217175904256565,2247471728164864557
5.33650462962963,286,303,0,1908531632537600124,1924910616150016162
5.345752314814815,303,181,0,1924910616150016162,1843873131266048612
5.436435185185185,314,374,0,1938169381519360230,1988993197539328251
5.46332175925926,336,314,0,1961415246086144676,1938169381519360230
5.598217592592593,459,356,0,2028007673823232103,1975768322146304485
5.598518518518518,101,356,0,1774954181820416137,1975768322146304485
5.631087962962963,825,39,0,2279306344529920704,1711158549544960452
5.707719907407407,455,318,0,2027139243180032242,1942784374210560569
5.724537037037037,97,191,0,1772014217986048779,1848220292481024824
5.774930555555556,484,388,0,2036358868631552805,2002987652218880834
5.838935185185186,785,560,0,2257528276647936460,2075509634629632315
5.9148958333333335,822,813,0,2277013964455936841,2273439335317504810
5.920833333333333,764,477,0,2243880019820544175,2034441291563008841
5.922916666666667,273,446,0,1899497428877312141,2026342375751680171
5.963877314814815,241,524,0,1883680960151552357,2052459308515328132
5.9642129629629625,192,342,0,1849673518153728970,1964767644221440047
6.090902777777778,681,728,0,2167130036371456539,2201902611693568964
6.12556712962963,822,436,0,2277013964455936841,2023369125920768031
6.169583333333334,845,752,0,2287235609133056030,2230691240607744553
6.169594907407408,540,845,0,2062240341557248420,2287235609133056030
6.2,921,97,0,2317781760475136663,1772014217986048779
6.209791666666667,185,721,0,1845089387151360086,2196740774035456902
6.223333333333334,937,723,0,2363279800270848396,2196839507951616561
6.448009259259259,281,51,0,1907112523333632768,1733675293081600765
6.448275462962963,496,51,0,2041160977612800888,1733675293081600765
6.584583333333334,94,342,0,1771076698767360844,1964767644221440047
6.6324652777777775,980,942,0,2499752839086080671,2370679802429440031
6.6811342592592595,862,709,0,2291777235058688381,2184527355052032229
6.709872685185185,598,525,0,2101936652288000941,2052596084768768078
6.712662037037037,458,555,0,2027811833380864759,2072169399975937018
6.8431597222222225,856,490,0,2290438329335808919,2039565229490176872
6.8494675925925925,900,786,0,2306068789067776187,2257547587223552052
6.974409722222222,410,616,0,2014975216320512039,2122829495533568731
7.004837962962963,988,138,0,2533782292791296455,1803419295678464545
7.074664351851852,701,277,0,2179439219703808931,1902713906397184366
7.087268518518519,634,570,0,2131687655866368821,2081620156743680138
7.263680555555555,899,571,0,2305620678017024708,2081773257228288439
7.2950231481481485,286,181,0,1908531632537600124,1843873131266048612
7.3505671296296295,374,314,0,1988993197539328251,1938169381519360230
7.3510532407407405,331,314,0,1956878544273408456,1938169381519360230
7.3520717592592595,374,336,0,1988993197539328251,1961415246086144676
7.352094907407407,374,314,0,1988993197539328251,1938169381519360230
7.353518518518518,338,507,0,1961839055339520646,2045880752406528236
7.641018518518519,871,599,0,2295119977906176362,2103406151860224092
7.641030092592593,570,599,0,2081620156743680138,2103406151860224092
7.642106481481481,599,570,0,2103406151860224092,2081620156743680138
7.642777777777778,570,599,0,2081620156743680138,2103406151860224092
7.862152777777778,142,51,0,1807569995694081006,1733675293081600765
7.8957291666666665,143,164,0,1810309689901056876,1829180442411008492
7.925798611111111,957,700,0,2397523809402880349,2178862242856960911
8.094768518518519,714,815,0,2188728076337152271,2275041072906240057
8.116458333333334,983,764,0,2507566517059584904,2243880019820544175
8.159108796296296,370,772,0,1987331473014784876,2248216217124864378
8.168564814814815,275,143,0,1900955612217344066,1810309689901056876
8.194016203703704,429,185,0,2020860453978112743,1845089387151360086
8.208344907407408,967,826,0,2433714101420032557,2280910825193472212
8.22443287037037,811,182,0,2272813872316416876,1844522224975872899
8.436423611111111,142,51,0,1807569995694081006,1733675293081600765
8.459780092592593,556,726,0,2072856385028096845,2200532156416000018
8.48451388888889,496,281,0,2041160977612800888,1907112523333632768
8.484525462962964,51,281,0,1733675293081600765,1907112523333632768
8.642881944444444,598,525,0,2101936652288000941,2052596084768768078
8.644270833333334,695,525,0,2175539808829440123,2052596084768768078
8.695706018518518,342,66,0,1964767644221440047,1751980594692096999
8.72650462962963,101,356,0,1774954181820416137,1975768322146304485
8.75763888888889,292,225,0,1914293440217088779,1870080887488512805
8.826238425925926,375,461,0,1989208273059840459,2029334021799936669
8.927708333333333,506,214,0,2045876902035456450,1861761116405760862
8.972824074074074,847,379,0,2288176752230400464,1992086639345664952
9.070821759259259,729,721,0,2204920488919040970,2196740774035456902
9.071527777777778,429,880,0,2020860453978112743,2297996473532416913
9.087233796296296,55,430,0,1739877469126656289,2021423539290112471
9.12150462962963,390,467,0,2003352019795968398,2031349426814976626
9.164861111111112,933,775,0,2336724864729088213,2251197780066304985
9.22525462962963,31,19,0,1685566399709184179,1615484730474496854
9.22875,463,337,0,2030079257346048028,1961721589661696321
9.266122685185184,610,607,0,2116974381367296195,2114980845453312002
9.266840277777778,914,228,0,2313466517913600801,1872577890877440559
9.270289351851853,654,228,0,2145463008493568110,1872577890877440559
9.292685185185185,281,338,0,1907112523333632768,1961839055339520646
9.298969907407407,862,982,0,2291777235058688381,2507079122157568415
9.320914351851853,212,79,0,1861026593112064369,1761923821469696607
9.32287037037037,610,939,0,2116974381367296195,2367772537389056165
9.322951388888889,597,939,0,2101253752487936505,2367772537389056165
9.32619212962963,31,19,0,1685566399709184179,1615484730474496854
9.472997685185184,544,744,0,2066476781535232701,2226484353695744015
9.60724537037037,595,331,0,2100520017723392499,1956878544273408456
9.70230324074074,361,728,0,1983081267331072989,2201902611693568964
9.74394675925926,805,193,0,2270364532998144104,1850172011184128831
9.746030092592592,351,681,0,1973546045669376603,2167130036371456539
9.7509375,574,592,0,2085810568429568853,2097654360178688638
9.75130787037037,579,10,0,2089402318716928130,1543788799459328779
9.76491898148148,599,570,0,2103406151860224092,2081620156743680138
9.835567129629629,461,375,0,2029334021799936669,1989208273059840459
9.936215277777778,889,192,0,2300219412709376308,1849673518153728970
9.955833333333333,50,520,0,1732949024178176405,2051602387042304629
10.017337962962962,460,661,0,2028363023646720137,2149483861245952486
10.126064814814814,188,20,0,1846876194209792853,1616714315857920835
10.203252314814815,579,737,0,2089402318716928130,2213215446499328060
10.215856481481481,368,681,0,1986340719689728225,2167130036371456539
10.2196875,50,304,0,1732949024178176405,1926253732954112587
10.283506944444444,254,93,0,1887970852339712230,1770638603714560386
10.298136574074075,554,73,0,2072079692201984679,1755632734568448093
10.327708333333334,654,914,0,2145463008493568110,2313466517913600801
10.328854166666666,228,914,0,1872577890877440559,2313466517913600801
10.349560185185185,361,804,0,1983081267331072989,2270050044084224645
10.354988425925926,971,29,0,2466281613688832757,1663984264544256132
10.356712962962963,971,181,0,2466281613688832757,1843873131266048612
10.357002314814816,210,150,0,1860382373183488857,1818217420947456317
10.361886574074074,490,609,0,2039565229490176872,2116187966144512398
10.4315625,185,721,0,1845089387151360086,2196740774035456902
10.436689814814814,721,185,0,2196740774035456902,1845089387151360086
10.518287037037037,595,331,0,2100520017723392499,1956878544273408456
10.619444444444444,732,648,0,2205980163047424802,2140007477280768914
10.697395833333333,555,914,0,2072169399975937018,2313466517913600801
10.744918981481481,127,287,0,1794963603980288537,1909838309228544936
10.764155092592592,862,709,0,2291777235058688381,2184527355052032229
10.766597222222222,599,570,0,2103406151860224092,2081620156743680138
10.783703703703704,619,815,0,2123569806966784222,2275041072906240057
10.874629629629629,44,855,0,1723270055329792304,2290258343362560281
10.883009259259259,619,815,0,2123569806966784222,2275041072906240057
10.902939814814815,845,858,0,2287235609133056030,2290957567393792017
10.981990740740741,980,742,0,2499752839086080671,2225136740597760289
11.136840277777777,215,454,0,1862045523771392049,2027125745909760422
11.195844907407407,351,681,0,1973546045669376603,2167130036371456539
11.1965625,368,681,0,1986340719689728225,2167130036371456539
11.21537037037037,499,288,0,2041770032496640094,1909865471541248945
11.234652777777777,890,736,0,2300476020228096833,2210934558818304310
11.262523148148148,899,901,0,2305620678017024708,2306682340245504624
11.291574074074074,575,175,0,2086975192432640513,1838904860737536482
11.348854166666667,180,479,0,1843869775822848921,2035176745992192170
11.427268518518519,209,231,0,1860290987687936224,1875040870072320261
11.497824074074074,653,514,0,2145413607981056805,2048905852223488248
11.498148148148148,653,514,0,2145413607981056805,2048905852223488248
11.541145833333333,374,595,0,1988993197539328251,2100520017723392499
11.61269675925926,172,3,0,1837769580085248706,1390263146643456712
11.851875,37,71,0,1703081284730881013,1753247375163392685
11.863784722222222,595,374,0,2100520017723392499,1988993197539328251
11.882685185185185,605,321,0,2113406387617792965,1945259374280704633
11.894907407407407,426,130,0,2020374367698944715,1796965553668096816
11.939675925925926,904,923,0,2307853968736256117,2320514257256448018
11.958935185185185,178,764,0,1843237912313856894,2243880019820544175
11.969733796296296,757,764,0,2233531782660096587,2243880019820544175
12.070497685185185,122,628,0,1791796812185600688,2129962286972929010
12.157175925925927,610,624,0,2116974381367296195,2127940766662656430
12.260092592592592,710,236,0,2185794135523328970,1878819988307968252
12.26329861111111,610,624,0,2116974381367296195,2127940766662656430
12.266990740740741,901,571,0,2306682340245504624,2081773257228288439
12.3146875,638,56,0,2133160015953920060,1740778455957504463
12.36675925925926,333,14,0,1959616074219520622,1598318148845569007
12.730046296296296,466,115,0,2030805794684928362,1788676879155200020
12.744722222222222,455,318,0,2027139243180032242,1942784374210560569
12.801354166666666,570,599,0,2081620156743680138,2103406151860224092
12.825486111111111,158,294,0,1825844116848640136,1916377766035456654
12.973055555555556,843,821,0,2286010872365056523,2276497209425920854
12.987766203703703,959,707,0,2398097908957184130,2182904872435712179
13.034594907407408,161,662,0,1827237171036160814,2149742012268544112
13.105960648148148,161,662,0,1827237171036160814,2149742012268544112
13.10630787037037,329,662,0,1956249281232896500,2149742012268544112
13.146122685185185,345,192,0,1968297595633664020,1849673518153728970
13.211388888888889,149,23,0,1817807989768192028,1639420750987264898
13.28900462962963,188,62,0,1846876194209792853,1749550297513984585
13.302627314814815,911,858,0,2312177524408320560,2290957567393792017
13.333668981481482,20,188,0,1616714315857920835,1846876194209792853
13.407662037037037,100,716,0,1773447445217280430,2190136666226688946
13.410162037037036,716,100,0,2190136666226688946,1773447445217280430
13.423229166666667,314,331,0,1938169381519360230,1956878544273408456
13.42443287037037,595,331,0,2100520017723392499,1956878544273408456
13.4778125,196,134,0,1851246868692992092,1799373151272960069
13.592384259259259,374,331,0,1988993197539328251,1956878544273408456
13.618900462962962,248,164,0,1885711422717952727,1829180442411008492
13.654594907407407,70,239,0,1753178546634752520,1882014001135616280
13.654965277777778,123,67,0,1792353337606144186,1752919212818432124
13.665787037037036,48,880,0,1728330885758976410,2297996473532416913
13.668564814814815,680,728,0,2167126571876352096,2201902611693568964
13.766111111111112,234,67,0,1877250135818240512,1752919212818432124
13.87482638888889,931,879,0,2334513988370432418,2297687269441536755
13.89826388888889,321,605,0,1945259374280704633,2113406387617792965
13.932511574074073,477,717,0,2034441291563008841,2190893293502464108
13.967106481481482,972,986,0,2470024845459456977,2528866132295680033
