sender_id,receiver_id,weight
1232826833829888794,2087967287934976056,1
1272675817226240125,1835624336195584366,1
1279462150766593022,1620548614356992302,1
1279462150766593022,1722952915615744928,1
1320405042200576741,2130270408933376262,1
1408684278153216258,1790957934608384329,1
1408863165218816310,1530572220399616454,1
1408863165218816310,1537372873293824197,1
1425681804165120103,1769197851901952748,1
1432083603914752645,1700533639315456490,1
1444878160494592358,2039979987435520217,1
1444878160494592358,2272701657907200663,1
1471222139322368664,1771127760224256441,1
1506660963057664905,1815514015858688155,1
1506840034672640710,1432267272486912506,1
1520603626471424945,2038837568077824443,1
1523474216517632897,1258678225207296308,1
1533737149923328190,2051297746354176701,2
1534228823015424512,1536329070411776761,1
1538549476229120635,2231726579384320933,1
1552245279686656789,2040940600492032974,1
1557582699298816063,1921856290422784036,1
1559745181777920343,1917709465944064823,1
1592388149575680141,1640139998625792708,1
1596108698550272749,1534228823015424512,1
1596761088983040864,1457461173157888463,1
1596761088983040864,1678679134437376707,1
1596761088983040864,1793018453557248297,1
1611375923167232875,2041614885191680624,2
1628829621682176306,1769936141680640951,1
1631631408365568097,2072727175299072654,1
1636582683574272067,1272675817226240125,3
1640139998625792708,1735636029538304469,1
1641632055164928984,2251058327846912341,1
1641632055164928984,2502044732620800523,1
1641632055164928984,2530107721777152330,2
1643095514939392661,2319337318776832914,2
1651740898230272702,1992558045560832357,1
1651740898230272702,2013514977771520669,1
1656894867374080416,1795431352762368897,1
1658336885866496717,1667029891284992377,1
1660309819359232190,1751075245785088010,1
1663988140081152497,1658336885866496717,2
1667840524419072028,1958303106072576239,2
1667840524419072028,1969138402590720915,4
1679111424573440179,2002958115930112617,1
1681200355737600690,2161306295599104826,1
1681475602743296470,1620656491855872677,1
1698043279704064332,1735343552331776750,1
1703097743179776046,1719099071660032671,1
1704774709805056656,1617138292883456961,1
1710479080685568875,1740318374363136411,1
1710479080685568875,1787317035466752413,1
1713173593849856356,2025239416406016226,1
1716174056325120454,1785861158993920652,3
1717534688542720955,1916905124265984744,1
1732148558036992950,1822834108137472848,1
1732148558036992950,1880279329275904596,1
1739538409979904477,1854135787847680475,2
1739538409979904477,2093146699726848247,1
1740318374363136411,1787317035466752413,1
1744342565781504072,1980587124457472203,1
1744342565781504072,2004755475857408580,1
1748158057021440601,1901083337162752602,1
1748158057021440601,2122764810977280959,1
1751075245785088010,1658309488672768110,1
1751075245785088010,1678550646128640546,1
1751330553069568362,2308536725929984456,1
1752642799796224538,2124505329696768536,1
1754439396360192190,1868662801694720176,1
1755535158280192639,2270230927638528275,1
1758319563767808659,1728388398055424617,1
1758319563767808659,1831958732603392792,1
1758504079589376196,1846678919315456109,1
1758504079589376196,2075533466664960191,1
1759016346714112878,1537372873293824197,1
1761923821469696607,1789615614722048114,1
1761923821469696607,1888853585559552316,4
1763487281840128827,1778491699757056176,1
1771127760224256441,1776598902636544607,2
1774143095701504531,1788065743896576366,1
1775020342771712881,1901083337162752602,1
1775503216214016643,1524326163546112531,1
1775503216214016643,1823626655432704302,1
1775503216214016643,1842545625661440515,1
1776598902636544607,1771127760224256441,1
1776908383551488119,2053771572019200803,2
1777219751903232924,1751160071389184196,1
1777689782386688722,1799741469884416298,1
1778491699757056176,1763487281840128827,2
1778491699757056176,1813393853906944121,1
1778657173438464753,1885034629824512594,1
1778657173438464753,1997933281017856557,1
1779366665125888804,1566283178967040884,1
1781428157153280127,1825523688800256206,1
1781613696385024725,1585725808050176377,1
1781613696385024725,1780639611224064781,1
1785861158993920652,1902635330306048484,1
1786539629608960535,1837169576509440186,1
1787317035466752413,1710479080685568875,3
1787317035466752413,1796788319158272597,1
1788610961473536986,1604172189270016267,1
1789355047780352037,1854742242263040922,1
1789591799463937005,1965041943314432583,1
1790130918522880303,1870115339501568154,1
1793018453557248297,1457461173157888463,1
1793237832433665004,1789591799463937005,1
1793237832433665004,1976328664383488786,1
1793724791128064030,2250327285825536165,2
1794449055154176557,1666089587048448227,1
1794449055154176557,1880279329275904596,1
1795431352762368897,1656894867374080416,1
1796788319158272597,1787317035466752413,3
1803975577829376890,1577976856576000234,1
1804135405977600384,1803975577829376890,2
1808119323688960465,2166945034010624922,1
1808142040039424507,2303520791330816688,1
1810379608948736510,1825523688800256206,1
1811926183051264879,1445256394440704250,1
1813393853906944121,1763487281840128827,1
1813393853906944121,1778491699757056176,1
1815437453033472297,1751087845474304636,1
1815514015858688155,1263996124528640346,2
1817710564474880773,1747383729782784854,1
1818365094002688144,2146896478994432976,1
1818381082689536759,1777757226795008826,1
1818381082689536759,2013139881164800988,1
1819041358413824889,1864836732420096233,1
1820683428429824682,1965041943314432583,1
1820683428429824682,2246819857825792649,2
1820683428429824682,2254797969293312044,1
1820683428429824682,2256799843483648902,1
1822203754577920203,1771206806077440153,2
1822203754577920203,2080229283594240400,1
1822834108137472848,1769917569302528160,1
1823626655432704302,1524326163546112531,1
1824954328809472233,1809908672495616994,1
1825523688800256206,1781428157153280127,1
1830106284687360023,1906163654328320556,1
1831958732603392792,1758319563767808659,1
1833686441918464562,2134434757214208298,1
1833734902906880288,1757412193206272100,1
1837390918320128155,1981502204149760055,1
1838824858583040683,2061690778681344629,1
1839789405896704828,1860926500241408827,2
1842545625661440515,1775503216214016643,1
1843868920184832544,1945168634707968788,1
1848797277716480753,2003836562571264203,1
1850390660251648348,2147361568587776423,1
1852503943544832658,1790130918522880303,1
1852503943544832658,2143102236098560670,1
1854135787847680475,1955414530850816384,1
1854135787847680475,2093146699726848247,1
1859759477096448929,2281407464341504206,1
1860926500241408827,2284348854239232258,1
1864836732420096233,1819041358413824889,1
1866408010973184983,2119184192372736417,1
1868662801694720176,1754439396360192190,1
1871235537436672816,2199715634479104085,1
1872706974777344409,1932188748611584570,3
1874398587912192234,2309270821404672516,1
1879455609913344944,1833686441918464562,1
1880279329275904596,1732148558036992950,1
1880850090164224277,1730678571925504276,1
1880850090164224277,1982952879685632799,1
1882101292990464519,2171194887372800080,1
1883430727974912181,2061180549988352860,1
1885034629824512594,1778657173438464753,1
1885034629824512594,1997933281017856557,1
1885310011047936253,1980587124457472203,1
1885310011047936253,2016914670878720740,1
1885310011047936253,2377852691415040713,2
1888853585559552316,1789615614722048114,2
1890845032710144189,2042939094073344193,2
1891677694328832805,1776908383551488119,1
1891677694328832805,2053771572019200803,1
1892456576581632194,1478467489103872638,3
1896881575690240382,1966944915816448961,1
1898809747570688208,2204053475950592284,1
1899479284318208583,2127779579559936033,1
1900375187652609012,1833686441918464562,1
1901083337162752602,1748158057021440601,2
1903122381275136742,2091757370081280526,1
1906163654328320556,2136911871213568399,1
1906792455995392219,1732148558036992950,2
1906792455995392219,1769917569302528160,1
1906792455995392219,1822834108137472848,2
1919176029503488314,1747383729782784854,1
1919195918893056837,2297449687285760349,4
1919195918893056837,2309409409597440555,1
1919258640515072436,1837424556638208427,1
1921329225793536174,1958303106072576239,1
1921329225793536174,1969138402590720915,2
1921856290422784036,1557582699298816063,1
1923502345027584860,1669966482898944970,1
1923502345027584860,1907613457448960124,1
1923502345027584860,1976524823592960491,2
1924718600912896421,2083778814017536033,1
1927731906347008966,1876307138838528269,1
1928306031067136296,2281407464341504206,1
1932188748611584570,1872706974777344409,1
1932410098810880996,2256838749847552567,1
1934451927941120863,1799741469884416298,1
1934678621683712902,1628829621682176306,2
1934678621683712902,1769936141680640951,1
1945168634707968788,1529876838350848046,1
1945168634707968788,1843868920184832544,1
1945168634707968788,2026670840086528186,1
1945168634707968788,2067135010439168195,1
1945173684649984013,1950553768722432624,1
1947892508000256472,2166945034010624922,1
1952027051556864727,1497587911753728600,1
1954083627859969022,1719099071660032671,1
1958303106072576239,1667840524419072028,1
1958303106072576239,1969138402590720915,1
1958303106072576239,2137764430610432906,1
1958341643337728697,1887638051094528490,2
1958341643337728697,2270599212695552570,1
1959823004401664725,1978367649775616481,1
1960365311131648934,1952727231889408908,1
1960365311131648934,2522317791952896337,1
1961827294511104226,2044748055445504056,1
1963544241242112523,2180818273304576989,1
1966861516275712639,1922566302203904600,1
1966944915816448961,1896881575690240382,2
1966946769698816180,2201884861399040413,1
1969138402590720915,1921329225793536174,1
1969138402590720915,1958303106072576239,2
1970563702587392865,2002958115930112617,1
1972308608548864356,1789615614722048114,1
1972810045980672045,1775020342771712881,1
1973421994934272074,2046231815651328575,1
1975783723630592249,1945168634707968788,1
1978108869607424308,2043129104433152836,3
1978108869607424308,2044099708321792476,1
1978367649775616481,1769121733672960853,1
1978367649775616481,1924718600912896421,1
1978367649775616481,2083778814017536033,1
1980587124457472203,2004755475857408580,1
1980587124457472203,2016914670878720740,2
1981502204149760055,1767542804709376688,1
1982118540345344389,1892456576581632194,1
1984526641266688461,2038837568077824443,1
1985327468118016940,2065686364946432276,1
1985327468118016940,2314296855887872890,1
1985327468118016940,2332859167670272929,1
1988684689702912922,1937121761820672340,1
1992200120434688610,1995371291082752807,1
1994076442329088940,1934678621683712902,2
1994616224088064667,1989546157801472355,1
1995371291082752807,2222149129469952519,1
1996666156613632386,2050302110859264231,2
1996782850539521020,1950553768722432624,1
1997933281017856557,1885034629824512594,4
1999548507488256470,1775020342771712881,1
1999970051817472022,1506840034672640710,1
2001057995554816398,2247504192077824545,1
2002315724718080217,1745014996598784927,1
2002958115930112617,1786609011785728507,1
2003836562571264203,2270808391024640211,1
2003943257276416389,1747383729782784854,1
2004689121968128216,1651740898230272702,1
2004755475857408580,1744342565781504072,2
2004755475857408580,1885310011047936253,1
2004755475857408580,1980587124457472203,1
2006709383987200301,2018573476167680230,1
2007003270479872319,2033915049017344523,1
2007547808579584630,2105459741818880469,1
2009134278901760749,2018573476167680230,2
2009635481452544390,2231726579384320933,3
2009820836134912238,2050302110859264231,2
2010746099597312930,1873404563030016793,1
2010746099597312930,1953213997645824594,1
2010746099597312930,2027177436512256967,1
2011146789847040963,2208364733923328488,1
2012549734203392577,2429428915240960444,1
2012566385590272918,1747383729782784854,1
2012609687584768848,1819041358413824889,1
