user_id,seed_type,degree_in_subset,sent_events
2324483360686080269,pattern02,0,3
1559704488640512918,pattern02,0,5
1272675817226240125,pattern02,0,3
2016938200924160813,pattern02,0,3
2203194239221760413,pattern02,1,5
2003836562571264203,pattern02,0,3
1489836099764224868,pattern02,0,3
2099704292704256293,pattern02,0,3
2048237531824128756,pattern02,0,4
2445862827458560778,pattern02,0,7
2219371678138368087,pattern02,0,4
1873701184208896067,pattern02,0,3
1408684278153216258,pattern02,0,3
2024323707568128236,pattern02,1,3
1864883003981824965,pattern02,0,3
1876307138838528269,pattern02,0,3
2046084268425216035,pattern02,0,6
2195923203522560314,pattern02,0,3
1769197851901952748,pattern02,0,3
2169805440286720863,pattern02,0,4
2148432567336960777,pattern02,0,3
1731570759106560115,pattern02,0,3
2298788735614976448,pattern02,0,3
1557582699298816063,pattern02,1,4
1978367649775616481,pattern02,0,7
2120210244960257013,pattern02,1,5
2066372561469440681,pattern02,0,7
1735343552331776750,pattern02,0,4
1713173593849856356,pattern02,0,5
1959935067815936659,pattern02,0,4
2303520791330816688,pattern02,0,3
2231726579384320933,pattern02,0,6
2290003715555328745,pattern02,0,3
1833686441918464562,pattern02,0,3
2326551236444160719,pattern02,0,3
1755210871472128923,pattern02,0,5
1923502345027584860,pattern02,0,5
1951053595541504486,pattern02,0,3
1940799403065344520,pattern02,0,4
1932188748611584570,pattern02,0,3
2060368776003584122,pattern02,0,3
2118622398906368455,pattern02,0,6
2292678305775616797,pattern02,0,3
2031298189197312538,pattern02,0,4
2082947511353344226,pattern02,0,3
2252581262852096588,pattern02,0,3
2173509144936448222,pattern02,0,3
2214611554140160773,pattern02,0,6
2045421367066625005,pattern02,0,4
2181620165509120455,pattern02,0,4
1572718390542336891,pattern02,0,3
1758319563767808659,pattern02,0,4
2291815269007360216,pattern02,0,3
1850390660251648348,pattern02,0,3
2031204849156096666,pattern02,0,5
2262066303860736952,pattern02,0,3
2041614885191680624,pattern02,0,4
2271569892081664679,pattern02,0,3
1768922017693696417,pattern02,0,3
2036728663638016456,pattern02,0,4
1729029665193984345,pattern02,0,3
2482018088648704627,pattern02,0,3
2055610547830784460,pattern02,0,7
1878373924077568359,pattern02,0,6
2076619732680704077,pattern02,0,3
2029179612692480854,pattern02,0,3
1922566302203904600,pattern02,0,3
1846853729517568848,pattern02,0,3
1792248236736512545,pattern02,0,4
2004808248590336948,pattern02,0,4
1631631408365568097,pattern02,0,4
2002958115930112617,pattern02,0,5
1465306476183552079,pattern02,0,4
2159932300328960767,pattern02,0,3
2043129104433152836,pattern02,0,11
2281396492042240104,pattern02,0,3
1860926500241408827,pattern02,0,6
2283118773927936293,pattern02,1,3
2306958140899328105,pattern02,0,3
2036641950597120177,pattern02,0,3
2019293982097409017,pattern02,0,9
1777880438669312849,pattern02,0,3
2162203826323456369,pattern02,0,3
1771127760224256441,pattern02,0,4
1934678621683712902,pattern02,0,5
1891677694328832805,pattern02,0,3
1789615614722048114,pattern02,0,3
2038837568077824443,pattern02,1,3
2209764817764352630,pattern02,1,4
2256838749847552567,pattern02,0,5
1530572220399616454,pattern02,0,5
1794449055154176557,pattern02,0,6
2111343687630848401,pattern02,0,5
1906769748033536424,pattern02,0,3
1837169576509440186,pattern02,0,3
2003943257276416389,pattern02,1,3
2188946121424896736,pattern02,0,3
1981502204149760055,pattern02,0,3
1630933560066048151,pattern02,0,9
1778657173438464753,pattern02,0,3
1799741469884416298,pattern02,0,5
1808183806918656135,pattern02,0,3
2001217043562496189,pattern02,0,4
1948203716968448239,pattern02,0,3
2270738547474432138,pattern02,0,3
1257322609377280705,pattern02,0,3
2537281038581760742,pattern02,0,3
1666994650742784408,pattern02,0,4
2525840671768576689,pattern02,0,3
2282864154509312537,pattern02,0,4
2040940600492032974,pattern02,1,4
1552245279686656789,pattern02,1,3
1544422130974720565,pattern02,0,3
2286722477981696694,pattern02,0,3
2032921519063040954,pattern02,0,3
2044748055445504056,pattern02,0,3
1525383245594624477,pattern02,0,3
1587543896227840342,pattern02,0,4
2285900075630592195,pattern02,0,3
2157478431162368736,pattern02,0,3
1519059325681664154,pattern02,0,3
1956067978248193007,pattern02,0,3
2162037178236928454,pattern02,0,3
1782696774729728802,pattern02,0,4
2278374881886208819,pattern02,0,4
1906792455995392219,pattern02,0,5
2140932925292544927,pattern02,0,4
2061690778681344629,pattern02,0,4
2046709060337664847,pattern02,0,9
2040037650726912083,pattern02,0,3
1793237832433665004,pattern02,0,3
1988729082216448446,pattern02,0,3
2024184968380416016,pattern02,0,3
2243379052150784492,pattern02,0,4
1506888529215488752,pattern02,0,3
2014175639371776099,pattern02,0,3
2021282778447872917,pattern02,0,4
1604172189270016267,pattern02,0,3
1815437453033472297,pattern02,0,4
1822203754577920203,pattern02,0,3
2259240114716672116,pattern02,1,6
2270173180461056414,pattern02,0,8
2002315724718080217,pattern02,0,5
2028393331687424191,pattern02,0,4
2319375939928064491,pattern02,0,3
2030087369129984999,pattern02,0,3
2021954672394240098,pattern02,0,3
2004141421363200055,pattern02,0,3
2025573132009472561,pattern02,0,5
1891434802184192512,pattern02,0,5
1833791601508352689,pattern02,0,4
2137325547028480018,pattern02,1,4
1664930491138048096,pattern02,0,3
1754439396360192190,pattern02,0,3
2288958511775744125,pattern02,0,4
1754495692308480381,pattern02,0,3
1707540140261376332,pattern02,0,7
2205620551811072649,pattern02,0,3
2064538073563137007,pattern02,0,3
1971386029441024594,pattern02,0,4
1799135854329856156,pattern02,0,4
1590276158128128227,pattern02,0,3
1717534688542720955,pattern02,0,3
1861104162570240182,pattern02,0,3
2020168494481408055,pattern02,0,4
1785021719379968004,pattern02,0,3
2180818273304576989,pattern02,0,3
2011146789847040963,pattern02,0,3
1795431352762368897,pattern02,0,3
1703097743179776046,pattern02,0,5
2009888079216640857,pattern02,0,4
1937121761820672340,pattern02,0,8
2362199540498432269,pattern02,0,3
1329499979382784458,pattern02,0,3
2009144303288320717,pattern02,0,3
2023396321787904468,pattern02,0,4
2093359988473857002,pattern02,0,3
2077239860527104953,pattern02,0,3
2167743017123840485,pattern02,0,3
1817797319458816509,pattern02,0,5
1775020342771712881,pattern02,0,3
1962515873398784599,pattern02,0,3
2123406799536128372,pattern02,0,3
1641632055164928984,pattern02,0,5
1779366665125888804,pattern02,0,3
1603884015419392350,pattern02,0,3
2284240582475776136,pattern02,0,3
2512767227527168032,pattern02,0,3
2132130591145984000,pattern02,0,3
1997276822110208510,pattern02,0,3
2277279161909248467,pattern02,0,4
1439187068780544781,pattern02,0,3
1896881575690240382,pattern02,0,5
