user_id,seed_type,degree_in_subset,sent_events,window_pattern,label,date_joined,username,account_age_days_at_start
2290003715555328745,pattern02,3,3,02,reappeared_skipW2,2017-08-26T14:28:36,mwatson216,333.0
2289771292393472987,pattern02,3,5,02,reappeared_skipW2,2017-08-26T06:46:49,jmccormick344,333.0
2362199540498432269,pattern02,2,3,02,reappeared_skipW2,2017-12-04T05:08:49,kenny-flauzino,233.0
2167743017123840485,pattern02,3,3,02,reappeared_skipW2,2017-03-10T21:58:25,nickcheng201,502.0
1813393853906944121,pattern02,3,5,02,reappeared_skipW2,2015-11-08T00:09:53,Shelby-Jensen-3,990.0
2195460479516672231,pattern02,2,4,02,reappeared_skipW2,2017-04-18T03:48:04,Eliana-Jurado,463.0
1960365311131648934,pattern02,2,4,02,reappeared_skipW2,2016-05-28T18:55:56,Niguel-Cher,788.0
2282864154509312537,pattern02,4,4,02,reappeared_skipW2,2017-08-16T18:03:34,CJ-Wright-4,343.0
2497304690950144312,pattern02,3,3,02,reappeared_skipW2,2018-06-08T14:58:38,Bobby-Bendlin,47.0
1779366665125888804,pattern02,1,3,02,reappeared_skipW2,2015-09-22T01:23:56,julescarroll4,1037.0
1919258640515072436,pattern02,2,3,02,reappeared_skipW2,2016-04-02T01:44:19,Marae-Marlatt,844.0
2525840671768576689,pattern02,1,3,02,reappeared_skipW2,2018-07-17T23:54:32,danaybarden,8.0
2260612365156352264,pattern02,1,6,02,reappeared_skipW2,2017-07-17T01:13:14,Samantha-Pittman-2,373.0
1833734902906880288,pattern02,1,3,02,reappeared_skipW2,2015-12-06T01:43:55,vanessafeiwell,962.0
2256838749847552567,pattern02,2,5,02,reappeared_skipW2,2017-07-11T20:15:44,Devincowan16,379.0
2120210244960257013,pattern02,3,5,02,reappeared_skipW2,2017-01-04T07:59:17,v0vbs,567.0
1917709465944064823,pattern02,1,4,02,reappeared_skipW2,2016-03-30T22:26:23,Muuuuuurrrpphy,847.0
2424441921339392909,pattern02,1,4,02,reappeared_skipW2,2018-02-28T02:13:19,Madisoncorrell,147.0
1506840034672640710,pattern02,2,3,02,reappeared_skipW2,2014-09-11T01:02:10,DanielBelfer,1413.0
2091757370081280526,pattern02,5,4,02,reappeared_skipW2,2016-11-26T01:48:30,kobegillespie,606.0
1643095514939392661,pattern02,2,4,02,reappeared_skipW2,2015-03-18T00:57:29,Tommy-Huber,1225.0
2044748055445504056,pattern02,2,3,02,reappeared_skipW2,2016-09-22T05:09:23,sarrawayy,671.0
1820683428429824682,pattern02,5,6,02,reappeared_skipW2,2015-11-18T01:32:58,Ben-Larchet,980.0
1952027051556864727,pattern02,1,5,02,reappeared_skipW2,2016-05-17T06:49:18,Derek-Atienza,799.0
2271295559434240092,pattern02,3,6,02,reappeared_skipW2,2017-07-31T18:58:50,krisssa,359.0
1530572220399616454,pattern02,1,5,02,reappeared_skipW2,2014-10-13T18:53:47,charlotte-frischman,1381.0
2037075037650944536,pattern02,1,3,02,reappeared_skipW2,2016-09-11T15:04:28,dpan97,682.0
1681475602743296470,pattern02,1,4,02,reappeared_skipW2,2015-05-09T23:51:52,Nick-Aubin08,1173.0
1854135787847680475,pattern02,4,3,02,reappeared_skipW2,2016-01-03T05:16:50,Jamie-Tamkin,934.0
2232080452812800411,pattern02,1,3,02,reappeared_skipW2,2017-06-07T16:25:25,Karol-Lipiszko,413.0
2496663407034368422,pattern02,2,5,02,reappeared_skipW2,2018-06-07T17:44:31,ChelseaLiang,48.0
1751160071389184196,pattern02,1,3,02,reappeared_skipW2,2015-08-14T03:22:28,HaleyHunter,1076.0
1795431352762368897,pattern02,1,3,02,reappeared_skipW2,2015-10-14T05:21:36,qiaoer,1015.0
2125862119931904074,pattern02,1,3,02,reappeared_skipW2,2017-01-12T03:08:33,meganmeadowss,559.0
2425878571122688441,pattern02,1,3,02,reappeared_skipW2,2018-03-02T01:47:41,Emma-Lochabay,145.0
2317886248976384579,pattern02,1,3,02,reappeared_skipW2,2017-10-04T01:46:13,Febbieisabel,294.0
1775503216214016643,pattern02,3,3,02,reappeared_skipW2,2015-09-16T17:27:57,chiefmiro_,1043.0
2268958870732800796,pattern02,1,3,02,reappeared_skipW2,2017-07-28T13:36:15,Nick-Hulsman,362.0
2042338855616512558,pattern02,1,3,02,reappeared_skipW2,2016-09-18T21:22:44,Santiago-Prieto,675.0
2203194239221760413,pattern02,2,5,02,reappeared_skipW2,2017-04-28T19:53:40,elisnyder17,453.0
1774143095701504531,pattern02,1,3,02,reappeared_skipW2,2015-09-14T20:25:38,Tarun-Garg,1045.0
2057395215794176762,pattern02,2,5,02,reappeared_skipW2,2016-10-09T15:57:02,Jazlyn-Sward,654.0
1775020342771712881,pattern02,9,3,02,reappeared_skipW2,2015-09-16T01:28:34,Noah-Sclar,1043.0
2019969306984449018,pattern02,2,4,02,reappeared_skipW2,2016-08-19T00:38:26,Sophie-Yass,705.0
2099704292704256293,pattern02,1,3,02,reappeared_skipW2,2016-12-07T00:57:37,maddy-ernst,595.0
2171194887372800080,pattern02,1,4,02,reappeared_skipW2,2017-03-15T16:16:40,Korey-Bronesh,497.0
2012609687584768848,pattern02,2,4,02,reappeared_skipW2,2016-08-08T20:56:11,Jackson-Lines,716.0
1896881575690240382,pattern02,1,5,02,reappeared_skipW2,2016-03-02T04:45:05,Sandra-Schoepke,875.0
2059003152564224267,pattern02,2,4,02,reappeared_skipW2,2016-10-11T21:11:43,SumanaKaluvai,652.0
2136626717261824642,pattern02,1,4,02,reappeared_skipW2,2017-01-26T23:35:53,jacklenahan,545.0
1803975577829376890,pattern02,2,3,02,reappeared_skipW2,2015-10-26T00:17:27,NicolePhan,1003.0
2243379052150784492,pattern02,1,4,02,reappeared_skipW2,2017-06-23T06:33:43,Reamonn-Ryan,397.0
2291697828495360276,pattern02,2,3,02,reappeared_skipW2,2017-08-28T22:34:30,Jack-Hendrickson-5,331.0
1825523688800256206,pattern02,3,5,02,reappeared_skipW2,2015-11-24T17:49:42,Sam-Wallman-1,974.0
2309270821404672516,pattern02,1,3,02,reappeared_skipW2,2017-09-22T04:28:54,Mackenzie-Paddock-1,306.0
1641632055164928984,pattern02,11,5,02,reappeared_skipW2,2015-03-16T00:29:51,Bryan-Look,1227.0
1891677694328832805,pattern02,2,3,02,reappeared_skipW2,2016-02-24T00:25:54,Maddi-Griffin,882.0
1717534688542720955,pattern02,1,3,02,reappeared_skipW2,2015-06-28T17:54:50,Rachel-Yaggi,1123.0
1651740898230272702,pattern02,3,4,02,reappeared_skipW2,2015-03-29T23:14:19,Connor-Ryland,1214.0
1980587124457472203,pattern02,6,4,02,reappeared_skipW2,2016-06-25T16:33:04,Hunter-Collins45,760.0
2295978400940032511,pattern02,1,4,02,reappeared_skipW2,2017-09-03T20:19:14,Alexa-Selimos,325.0
2164338483789824028,pattern02,4,4,02,reappeared_skipW2,2017-03-06T05:14:13,jae1best,506.0
2050302110859264231,pattern02,3,3,02,reappeared_skipW2,2016-09-29T21:04:18,tcob15,664.0
