"term","coef","se","z","p","OR"
"(Intercept)",-4.32038444435253,0.159370468137699,-27.1090654048882,7.69873347731048e-162,0.0132947714600452
"w1_partners",-0.0375732168450911,0.0185585400464961,-2.02457826698415,0.0429106877451918,0.963123898245985
"w1_max_tie",-0.168607955444947,0.0230533648327566,-7.31381109300674,2.59670135249102e-13,0.844840053411841
"w1_recip_frac",0.353216247448387,0.119686793374468,2.95117144916122,0.00316571140749783,1.42363896844357
"w1_events_l",0.534128675018262,0.109725471326315,4.86786402976395,1.12810900927895e-06,1.70596114791102
"tenure_z",0.0237883606383454,0.0215490034997036,1.10391928975614,0.269628150384472,1.02407356067958
"peer_w1_l",0.159073442027949,0.0352612788056963,4.51127830344745,6.44381090999737e-06,1.17242404871868
"peer_w3_frac",0.986810469236083,0.158164890283666,6.23912467214599,4.4002619580706e-10,2.68266437177189
